,species,family ,suborder ,sum radii ,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123
1,Berardius arnuxii NHM 1935.10.23.1,Ziphiidae ,odontocete,0.253872,0.002183,0.004323,0.006362,0.002501,0.004865,0.011841,0.008694,0.009314,0.00819,0.005316,0.008761,0.001103,0.004405,0.005353,0.006183,0.002541,0.002301,0.002029,0.008164,0.009962,0.00514,0.001514,0.002203,0.00337,0.003789,0.004584,0.00058,0.001689,0.00546,0.006027,0.002183,0.00311,0.007574,0.004741,0.000447,0.003979,0.000581,0.001427,0.001637,0.00251,0.005739,0.005279,0.006332,0.003621,0.00289,0.003101,0.00225,0.003398,0.002091,0.005024,0.006469,0.004957,0.007919,0.002427,0.002289,0.001963,0.011186
2,Berardius bairdii NHM 1954.9.21.1,Ziphiidae ,odontocete,0.284712,0.005387,0.009986,0.008317,0.004712,0.010214,0.012345,0.010712,0.009041,0.009943,0.005318,0.009764,0.002201,0.004538,0.002026,0.003513,0.00099,0.002858,0.003686,0.008975,0.013183,0.00452,0.003703,0.003538,0.00604,0.004096,0.004041,0.003781,0.003569,0.009332,0.004999,0.00142,0.003543,0.009956,0.003166,0.004816,0.001695,0.003661,0.004374,0.000681,0.002638,0.003572,0.000986,0.006359,0.002827,0.002758,0.001515,0.004739,0.001646,0.001294,0.003061,0.001432,0.001979,0.010291,0.002367,0.004112,0.001698,0.012796
3,Berardius minimus USNM 276366,Ziphiidae ,odontocete,0.233649,0.006411,0.011326,0.015214,0.009793,0.011731,0.0023,0.00219,0.010435,0.001745,0.001042,0.01135,0.001813,0.007263,0.002065,0.003823,0.004811,0.005447,0.002324,0.002591,0.003951,0.00253,0.003569,0.002288,0.007276,0.002375,0.000512,0.001785,0.002792,0.003598,0.001398,0.002707,0.001509,0.001956,0.002891,0.003223,0.004754,0.001892,0.00173,0.0019,0.004909,0.004261,0.00526,0.004022,0.000284,0.001037,0.002528,0.002164,0.002105,0.000612,0.000953,0.00204,0.006581,0.002826,0.007353,0.009999,0.00386,0.004543
4,Cephalorhynchus commersonii NN,Delphinidae,odontocete,0.271384,0.01632,0.009125,0.008799,0.009819,0.00927,0.001186,0.00134,0.006194,0.009397,0.000544,0.009444,0.001441,0.002306,0.00197,0.004457,0.001415,0.001114,0.00186,0.001217,0.000594,0.003531,0.002312,0.003227,0.006171,0.003633,0.00565,0.004667,0.00413,0.004257,0.007872,0.0037,0.007934,0.001013,0.002183,0.002862,0.003461,0.004909,0.002637,0.002188,0.003573,0.002269,0.005838,0.010598,0.003269,0.003751,0.002946,0.008631,0.002543,0.002369,0.005217,0.003424,0.001351,0.001055,0.010634,0.010034,0.010341,0.009389
5,Cephalorhynchus eutropia NHM 1881.8.17.1,Delphinidae,odontocete,0.321463,0.011325,0.007947,0.007898,0.006457,0.009794,0.007211,0.008872,0.008001,0.00896,0.007427,0.007053,0.003013,0.003271,0.000948,0.006351,0.00292,0.003348,0.003202,0.007615,0.008757,0.008243,0.010003,0.000514,0.003579,0.008412,0.00331,0.005571,0.007944,0.008152,0.004032,0.008254,0.0026,0.008016,0.003387,0.004645,0.002577,0.005847,0.003564,0.003981,0.006045,0.005537,0.003766,0.005667,0.00223,0.006994,0.004337,0.003134,0.004151,0.002969,0.001235,0.004569,0.002778,0.007461,0.011074,0.005922,0.003273,0.007319
6,Cephalorhynchus heavisidii NHM 1948.7.27.1,Delphinidae,odontocete,0.266068,0.009717,0.003723,0.004756,0.004036,0.009296,0.003464,0.004093,0.009724,0.00399,0.002368,0.004281,0.005971,0.003617,0.002837,0.003757,0.002733,0.002718,0.007112,0.00506,0.004393,0.00489,0.001722,0.003031,0.004897,0.005894,0.00546,0.003828,0.009972,0.00618,0.005144,0.005392,0.004519,0.005541,0.003229,0.005504,0.003384,0.004977,0.003157,0.004285,0.003673,0.003005,0.005948,0.007716,0.002215,0.00581,0.003469,0.002768,0.003101,0.001521,0.002493,0.003827,0.003225,0.005352,0.00606,0.004027,0.005734,0.007472
7,Cephalorhynchus hectori maui NMNZ MM002607,Delphinidae,odontocete,0.290536,0.015963,0.013225,0.013411,0.012059,0.008655,0.001033,0.002534,0.005295,0.009959,0.000692,0.012834,0.005384,0.001075,0.003946,0.002653,0.001326,0.001722,0.002393,0.000474,0.000478,0.008503,0.003265,0.003761,0.002314,0.007925,0.003051,0.006304,0.006206,0.009152,0.008189,0.003022,0.002988,0.000415,0.002835,0.003002,0.003273,0.006736,0.003665,0.001777,0.005947,0.009182,0.006929,0.004644,0.001608,0.003311,0.005627,0.002404,0.005425,0.001541,0.001835,0.002564,0.002527,0.000468,0.011853,0.011827,0.00177,0.009582
8,Cephalorhynchus hectori NMNZ MM002288,Delphinidae,odontocete,0.278698,0.013657,0.010736,0.008284,0.008884,0.00913,0.002377,0.00321,0.014318,0.00344,0.001339,0.008056,0.007265,0.003249,0.003093,0.004108,0.00362,0.002617,0.001027,0.004908,0.003606,0.007881,0.0017,0.003418,0.001945,0.008338,0.004475,0.005089,0.007028,0.007972,0.006172,0.006268,0.000752,0.005001,0.001699,0.00222,0.003976,0.005093,0.002255,0.002015,0.005812,0.00213,0.009605,0.00807,0.001201,0.002958,0.002269,0.003331,0.002191,0.001004,0.003045,0.001857,0.002701,0.004677,0.00836,0.008926,0.002243,0.008102
9,Delphinapterus leucas USNM 305071,Monodontidae,odontocete,0.453375,0.013633,0.021696,0.018962,0.020675,0.021669,0.001379,0.00273,0.020712,0.002918,0.002101,0.017545,0.007809,0.008259,0.005633,0.005795,0.006641,0.006209,0.008653,0.004173,0.003513,0.008857,0.007002,0.00758,0.007643,0.007549,0.002902,0.004262,0.00487,0.004248,0.002885,0.006569,0.004529,0.004019,0.009463,0.006142,0.006337,0.004005,0.004918,0.003929,0.003501,0.004548,0.004052,0.004083,0.014954,0.016756,0.003252,0.006652,0.002685,0.007888,0.002317,0.003166,0.002011,0.004374,0.032751,0.020451,0.010011,0.00151
10,Delphinus capensis NHM 1981.7.11,Delphinidae,odontocete,0.210715,0.002596,0.012187,0.007694,0.009666,0.005434,0.001244,0.002702,0.011844,0.008388,0.002044,0.010275,0.00333,0.001988,0.001153,0.00231,0.002284,0.001937,0.021797,0.001823,0.001309,0.002637,0.002118,0.006022,0.002662,0.002772,0.000895,0.001737,0.002146,0.003571,0.002509,0.001782,0.001805,0.002131,0.000999,0.000803,0.005182,0.001591,0.000753,0.000598,0.002029,0.00084,0.002291,0.003124,0.001497,0.002434,0.001623,0.001817,0.001701,0.001303,0.003291,0.00126,0.00192,0.002068,0.007878,0.009421,0.002114,0.009384
11,Delphinus delphis AMNH 75332,Delphinidae,odontocete,0.266721,0.012717,0.015505,0.010501,0.011711,0.010711,0.001024,0.001297,0.018076,0.009233,0.000392,0.010617,0.001702,0.001662,0.003252,0.005486,0.001159,0.002113,0.00168,0.001404,0.001341,0.003391,0.002179,0.002172,0.001756,0.004088,0.004515,0.004525,0.003077,0.003492,0.004708,0.003066,0.006007,0.001267,0.007844,0.00345,0.000789,0.004345,0.00073,0.003826,0.003569,0.004931,0.001481,0.001069,0.001753,0.003895,0.002522,0.001667,0.002301,0.002766,0.001559,0.004833,0.009859,0.001494,0.01338,0.011818,0.001283,0.009731
12,Feresa attenuata USNM 504916,Delphinidae,odontocete,0.369323,0.018118,0.016446,0.014357,0.019248,0.023679,0.002562,0.000916,0.023162,0.008013,0.001588,0.014925,0.001287,0.003131,0.005471,0.006201,0.00484,0.00461,0.001895,0.000104,0.001045,0.009321,0.001541,0.00476,0.002782,0.009551,0.002428,0.006326,0.007206,0.008844,0.007241,0.00646,0.001299,0.00095,0.005297,0.006187,0.004806,0.006037,0.006785,0.005845,0.004893,0.008191,0.005136,0.003576,0.004886,0.002375,0.001824,0.005134,0.001698,0.002529,0.003737,0.002916,0.004077,0.001017,0.006085,0.019567,0.00697,0.009446
13,Globicephala macrorhynchus NHM 1912.10.27,Delphinidae,odontocete,0.406998,0.011264,0.016691,0.010213,0.016263,0.011666,0.013884,0.010367,0.02445,0.010556,0.006058,0.015322,0.002948,0.005275,0.007331,0.00636,0.004209,0.003591,0.004285,0.012775,0.01003,0.00603,0.004173,0.003248,0.003269,0.005543,0.006538,0.005775,0.00956,0.006517,0.005019,0.007369,0.002672,0.011898,0.002206,0.002302,0.003232,0.006526,0.001559,0.00334,0.003926,0.001705,0.005778,0.005151,0.008881,0.005273,0.002896,0.001577,0.00281,0.001921,0.006737,0.002127,0.002583,0.010972,0.014242,0.016638,0.003812,0.009656
14,Globicephala melas NMNZ MM001946,Delphinidae,odontocete,0.409927,0.01585,0.022349,0.010674,0.01094,0.013777,0.005971,0.002414,0.014003,0.009984,0.002755,0.015973,0.004835,0.006778,0.007503,0.007607,0.006402,0.006031,0.004943,0.006493,0.00514,0.003242,0.011808,0.006844,0.004796,0.003345,0.00419,0.004474,0.002591,0.003913,0.000749,0.004158,0.009639,0.005961,0.010943,0.007189,0.005971,0.00487,0.003327,0.001533,0.003281,0.006778,0.009011,0.01389,0.002486,0.005262,0.010338,0.005237,0.005024,0.001336,0.003757,0.006864,0.005689,0.007764,0.026248,0.022552,0.005585,0.004707
15,Grampus griseus USNM 571602,Delphinidae,odontocete,0.343466,0.012333,0.012555,0.010956,0.020682,0.011647,0.001097,0.000784,0.016065,0.008813,0.001197,0.01379,0.004578,0.004451,0.008397,0.007401,0.003528,0.004588,0.004387,0.000856,0.000678,0.002484,0.007159,0.004196,0.007343,0.002488,0.003371,0.00374,0.01101,0.005078,0.003887,0.00451,0.007238,0.000638,0.00872,0.005163,0.003635,0.003488,0.002019,0.002459,0.001372,0.00335,0.003537,0.00607,0.003457,0.001706,0.004145,0.001971,0.003928,0.000872,0.003721,0.002841,0.003709,0.000903,0.028061,0.019948,0.006502,0.009962
16,Hyperoodon ampullatus NHM 1992.42,Ziphiidae ,odontocete,0.308341,0.012005,0.014472,0.018963,0.007656,0.013521,0.006978,0.002151,0.030612,0.000688,0.000873,0.006407,0.002027,0.009432,0.003104,0.003005,0.002276,0.002819,0.003056,0.001597,0.000987,0.003047,0.006333,0.006413,0.008642,0.002275,0.004377,0.001434,0.00571,0.008073,0.00474,0.001623,0.009857,0.001568,0.003574,0.006959,0.008358,0.001748,0.001234,0.007126,0.006569,0.006454,0.001875,0.006853,0.001026,0.005327,0.003992,0.001277,0.003408,0.001387,0.002361,0.002023,0.003323,0.001063,0.006229,0.008141,0.004898,0.006417
17,Hyperoodon planifrons NHM 1952.9.30.1,Ziphiidae ,odontocete,0.270808,0.015699,0.014172,0.011185,0.013441,0.007967,0.002047,0.002527,0.001635,0.001716,0.000541,0.012396,0.00516,0.00062,0.001863,0.002694,0.002332,0.007483,0.003242,0.001911,0.002139,0.005805,0.005361,0.003808,0.00304,0.006053,0.009301,0.002062,0.006988,0.008273,0.001876,0.004096,0.003555,0.003037,0.004777,0.004895,0.001828,0.002093,0.00334,0.001623,0.002964,0.005109,0.008019,0.002667,0.003409,0.004836,0.002717,0.001429,0.002522,0.002226,0.00319,0.003133,0.00323,0.001958,0.009857,0.013955,0.004734,0.002271
18,Indopacetus pacificus USNM 593534,Ziphiidae ,odontocete,0.362653,0.01199,0.014112,0.012812,0.01314,0.011119,0.013942,0.013902,0.008996,0.013716,0.014118,0.013293,0.002228,0.002483,0.004979,0.003261,0.003118,0.002931,0.001416,0.014127,0.015114,0.005304,0.003516,0.002654,0.005844,0.00552,0.000418,0.004464,0.007767,0.006311,0.00234,0.002645,0.002912,0.013876,0.003052,0.004276,0.003064,0.003917,0.003196,0.005583,0.003534,0.004248,0.0015,0.002648,0.003564,0.001903,0.003362,0.002097,0.002834,0.002052,0.002262,0.001467,0.001011,0.014256,0.00777,0.013272,0.002702,0.014714
19,Inia geoffrensis AMNH 93415,Iniidae ,odontocete,0.200504,0.007294,0.008582,0.005039,0.008935,0.009125,0.001045,0.003035,0.005138,0.002046,0.000615,0.003841,0.001981,0.003094,0.001361,0.001669,0.002637,0.001755,0.003248,0.001391,0.000988,0.00523,0.003912,0.002998,0.002948,0.005091,0.003063,0.003494,0.005333,0.009366,0.002565,0.002152,0.003606,0.003136,0.002345,0.00165,0.001348,0.004058,0.003273,0.002236,0.003282,0.002492,0.00393,0.005687,0.00092,0.002298,0.001688,0.001431,0.002148,0.002349,0.002686,0.002115,0.002663,0.004532,0.006104,0.008759,0.006578,0.000218
20,Kogia breviceps USNM 22015,Kogiidae ,odontocete,0.462434,0.022976,0.018691,0.016375,0.003072,0.013046,0.003433,0.001806,0.09844,0.001358,0.003101,0.020243,0.010839,0.005001,0.014673,0.003647,0.005947,0.004094,0.006502,0.00295,0.003803,0.003384,0.00906,0.007581,0.009081,0.002766,0.001648,0.003101,0.006501,0.001731,0.003097,0.005236,0.007093,0.003225,0.007096,0.006384,0.003691,0.002571,0.003409,0.002582,0.002586,0.005622,0.010332,0.011596,0.003336,0.00299,0.004383,0.001074,0.004941,0.003378,0.001057,0.001401,0.001825,0.003508,0.022547,0.021277,0.008269,0.003074
21,Kogia simus NHM.1952.8.28.1,Kogiidae ,odontocete,0.456996,0.008231,0.020863,0.017355,0.002817,0.026327,0.002908,0.003962,0.089273,0.002337,0.00259,0.018271,0.003651,0.004248,0.004814,0.004688,0.002352,0.002682,0.011834,0.003779,0.004915,0.008082,0.005458,0.006066,0.0067,0.007561,0.001595,0.003983,0.007475,0.014202,0.004253,0.008299,0.002898,0.003359,0.025353,0.008814,0.002773,0.00185,0.002287,0.002791,0.002053,0.006685,0.004439,0.003329,0.004684,0.003458,0.002521,0.005049,0.002048,0.001245,0.000823,0.001485,0.002586,0.00805,0.002209,0.020877,0.020059,0.003708
22,Lagenodelphis hosei USNM 571619,Delphinidae,odontocete,0.327616,0.007537,0.011453,0.014886,0.01727,0.013072,0.002632,0.002796,0.020979,0.008633,0.003041,0.01575,0.00143,0.002003,0.002992,0.004279,0.003079,0.001457,0.00188,0.002227,0.001648,0.003754,0.002844,0.009942,0.005744,0.004244,0.007106,0.004467,0.0051,0.005781,0.006039,0.002646,0.00196,0.002358,0.003939,0.002609,0.003192,0.004658,0.000782,0.003927,0.002837,0.00951,0.007118,0.012168,0.004435,0.00268,0.002964,0.004928,0.002379,0.00039,0.001647,0.002405,0.003463,0.002163,0.018519,0.016854,0.003169,0.009852
23,Lagenorhynchus acutus USNM 504196 (Leucopleurus),Delphinidae,odontocete,0.281787,0.007169,0.008837,0.015233,0.008337,0.009668,0.005085,0.004494,0.021969,0.004228,0.003757,0.010031,0.007062,0.008208,0.002281,0.003854,0.004072,0.004221,0.001637,0.004929,0.005358,0.003698,0.001819,0.002111,0.003668,0.003668,0.006216,0.004706,0.003638,0.00441,0.002786,0.004996,0.00126,0.0054,0.004903,0.005916,0.003095,0.005052,0.000893,0.003476,0.004104,0.003087,0.002146,0.006431,0.006643,0.003789,0.000645,0.001615,0.000689,0.001672,0.005148,0.002251,0.002356,0.004818,0.007455,0.009763,0.001802,0.005231
24,Lagenorhynchus albirostris AMNH 37162,Delphinidae,odontocete,0.355442,0.01815,0.013404,0.012766,0.015962,0.014815,0.003767,0.004628,0.018178,0.005103,0.002968,0.014269,0.004353,0.002626,0.003854,0.006517,0.00586,0.005737,0.003279,0.00409,0.003487,0.007749,0.004879,0.004456,0.004391,0.006011,0.00639,0.004643,0.003418,0.007083,0.00795,0.003642,0.001841,0.00368,0.002397,0.004224,0.001085,0.005202,0.005765,0.001786,0.003354,0.01013,0.002568,0.008804,0.002321,0.001842,0.003532,0.004906,0.004913,0.001298,0.007286,0.002073,0.007819,0.004063,0.01051,0.015831,0.003889,0.0099
25,Lagenorhynchus australis 1944.11.30.1 (Sagmatias),Delphinidae,odontocete,0.309338,0.01781,0.008856,0.007276,0.010017,0.008393,0.000827,0.002736,0.016943,0.008504,0.001757,0.009472,0.002622,0.002992,0.002609,0.003685,0.004997,0.00517,0.003305,0.001048,0.001573,0.006801,0.003402,0.002248,0.002316,0.007233,0.006273,0.008569,0.003029,0.007992,0.008916,0.003656,0.002489,0.001509,0.00258,0.011452,0.006864,0.009397,0.00153,0.004957,0.003514,0.008255,0.001751,0.003702,0.003189,0.004808,0.005543,0.001971,0.005278,0.001217,0.001401,0.003523,0.002381,0.001548,0.011078,0.010083,0.008979,0.009313
