phylo name ,suborder ,age,specimen,family ,sum radii ,regime ,regime_split,frequency ,PA_echo
Mesoplodon_carlhubbsi,odontocete,extant,Mesoplodon carlhubbsi USNM 504128,Ziphiidae ,0.232170573,regime3,regime3,FMbuzz,band3
Mesoplodon_europaeus,odontocete,extant,Mesoplodon europaeus USNM 571665,Ziphiidae ,0.210670898,regime3,regime3,FMbuzz,band3
Mesoplodon_ginkgodens,odontocete,extant,Mesoplodon ginkgodens USNM 298237,Ziphiidae ,0.192940375,regime3,regime3,FMbuzz,band3
Mesoplodon_grayi,odontocete,extant,Mesoplodon grayi USNM 49880,Ziphiidae ,0.206866998,regime3,regime3,FMbuzz,band3
Mesoplodon_hectori,odontocete,extant,Mesoplodon hectori NHM 1949.8.19.1,Ziphiidae ,0.252206584,regime3,regime3,FMbuzz,band3
Mesoplodon_hotaula,odontocete,extant,Mesoplodon hotaula USNM 593426,Ziphiidae ,0.213226009,regime3,regime3,FMbuzz,band3
Mesoplodon_layardii,odontocete,extant,Mesoplodon layardii USNM 550150,Ziphiidae ,0.240394924,regime3,regime3,FMbuzz,band3
Mesoplodon_mirus,odontocete,extant,Mesoplodon mirus USNM 504612,Ziphiidae ,0.202499381,regime3,regime3,FMbuzz,band3
Mesoplodon_peruvianus,odontocete,extant,Mesoplodon peruvianus USNM 571258,Ziphiidae ,0.268852763,regime3,regime3,FMbuzz,band3
Mesoplodon_stejnegeri,odontocete,extant,Mesoplodon stejnegeri USNM 504330,Ziphiidae ,0.203605456,regime3,regime3,FMbuzz,band3
Mesoplodon_traversii,odontocete,extant,Mesoplodon traversii (juvenile) NMNZ TMP013005,Ziphiidae ,0.242320045,regime3,regime3,FMbuzz,band3
Messapicetus_longirostris,odontocete,miocene,Messapicetus longirostris MSNUP,Ziphiidae ,0.327296363,regime3,regime3,unknown,band3
Miocaperea_pulchra,mysticete,miocene,Miocaperea pulchra SMNS 46978,Cetotheriidae ,0.196203164,regime2,regime2,unknown,band0
Mixocetus_sp,mysticete,miocene,Mixocetus LACM 143474,Tranatocetidae,0.162672309,regime2,regime2,unknown,band0
Monodon_monoceros,odontocete,extant,Monodon monoceros USNM 267959,Monodontidae,0.545526308,regime4,monodontid,NBS ,band3
Neophocaena_asiaeorientalis,odontocete,extant,Neophocaena asiaeorientalis USNM 240001,Phocoenidae ,0.322528183,regime3,regime3,NBHF,band3
Neophocaena_phocaenoides,odontocete,extant,Neophocoena phocaenoides NHM 1903.9.12.3,Phocoenidae ,0.32818629,regime3,regime3,NBHF,band3
Notocetus_vanbenedeni,odontocete,miocene,Notocetus vanbenedeni MLP 55,Squalodelphinidae,0.403664791,regime3,regime3,unknown,band3
Odobenocetops_leptodon,odontocete,pliocene,Odobenocetops leptodon SMNK PAL 2491,Odobenocetopsidae,0.284326367,regime3,regime3,unknown,band3
Orcaella_brevirostris,odontocete,extant,Orcaella brevirostris NHM.1883.11.20.2,Delphinidae,0.374142563,regime3,regime3,BBLF ,band3
Orcaella_heinsohni,odontocete,extant,Orcaella heinsohni USNM 284430,Delphinidae,0.3501892,regime3,regime3,BBLF ,band3
Orcinus_orca,odontocete,extant,Orcinus orca USNM 11980,Delphinidae,0.283957611,regime3,regime3,BBLF ,band3
Orycternocetus_crocodilinus,odontocete,miocene,Orycternocetus crocodilinus USNM 22926,Physeteridae,0.517982095,regime4,physeteroidea,unknown,band3
Pakicetus_attocki,archaeocete,eocene,Pakicetus PV M 100148 ,Pakicetidae ,0.238334535,regime1,regime1,unknown,band0
Papahu_taitapu,odontocete,miocene ,Papahu taitapu OU 22066,Waipatiidae,0.267008034,regime3,regime3,unknown,band3
Parapontoporia_sternbergi,odontocete,pliocene,Parapontoporia sternbergi SDNHM 75060,Lipotidae ,0.188963215,regime3,regime3,unknown,band3
Parietobalaena_palmeri,mysticete,miocene ,Parietobalaena palmeri USNM 24883,Pelocetidae ,0.216269149,regime2,regime2,unknown,band0
Patriocetid_new_genus_ChM_PV4753,odontocete,oligocene,Patriocetid new genus ChM PV4753,Patriocetidae ,0.211719623,regime3,regime3,unknown,band3
Patriocetus_ehrlichii,odontocete,oligocene,Patriocetus ehrlichii 1999-3 Cet. 4,Patriocetidae ,0.225171314,regime3,regime3,unknown,band3
Patriocetus_sp_MB_Ma._42882,odontocete,oligocene,Patriocetus sp MB Ma. 42882,Patriocetidae ,0.188394334,regime3,regime3,unknown,band3
Pelocetus_calvertensis,mysticete,miocene,Pelocetus calvertensis USNM 11976,Pelocetidae ,0.136668476,regime2,regime2,unknown,band0
Peponocephala_electra,odontocete,extant,Peponocephala electra USNM 504511,Delphinidae,0.322397441,regime3,regime3,BBLF ,band3
Phocoena_dioptrica,odontocete,extant,Phocoena dioptrica NHM 1939.9.30.1,Phocoenidae ,0.284149628,regime3,regime3,NBHF,band3
Phocoena_phocoena,odontocete,extant,Phocoena phocoena AMNH 212161,Phocoenidae ,0.214209241,regime3,regime3,NBHF,band3
Phocoena_sinus,odontocete,extant,Phocoena sinus SDNHM 20697,Phocoenidae ,0.309365832,regime3,regime3,NBHF,band3
Phocoena_spinipinnis,odontocete,extant,Phocoena spinpinnis NHM 1900.5.7.29,Phocoenidae ,0.319776536,regime3,regime3,NBHF,band3
Phocoenoides_dalli,odontocete,extant,Phocoenoides dalli USNM 276062,Phocoenidae ,0.267513642,regime3,regime3,NBHF,band3
Physeter_macrocephalus,odontocete,extant,Physeter macrocephalus NHM 2007.1,Physeteridae,0.455996927,regime4,physeteroidea,LFMP,band3
Piscobalaena_nana,mysticete,miocene,Piscobalaena nana MNHN 1618,Cetotheriidae ,0.169160957,regime2,regime2,unknown,band0
Piscolithax_longirostris,odontocete,miocene,Piscolithax longirostris SAS 933,Phocoenidae,0.240494548,regime3,regime3,unknown,band3
Platanista_gangetica,odontocete,extant,Platanista gangetica USNM 172409,Platanistidae,0.44884143,regime4,platanistid,BBLF ,band3
Pliopontos_littoralis,odontocete,pliocene,Pliopontos littoralis SAS 193,Pontoporiidae ,0.206611733,regime3,regime3,unknown,band3
Pontoporia_blainvillii,odontocete,extant,Pontoporia blainvillei USNM 482727,Pontoporiidae ,0.179004416,regime3,regime3,NBHF,band3
Prosqualodon_davidis,odontocete,oligocene,Prosqualodon davidis USNM 467596,Prosqualodontidae,0.25969221,regime3,regime3,unknown,band3
Protocetus_atavus,archaeocete,eocene,Protocetus atavus SMNS 11084,Protocetidae,0.298044757,regime1,regime1,unknown,band0
Pseudorca_crassidens,odontocete,extant,Pseudorca crassidens USNM 11320,Delphinidae,0.408119584,regime3,regime3,BBLF ,band3
Remingtonocetus_harudiensis,archaeocete,eocene,Remingtonocetus harudiensis USNM PAL 559313,Remingtonocetidae,0.135105424,regime1,regime1,unknown,band0
Sagmatias_australis,odontocete,extant,Lagenorhynchus australis 1944.11.30.1,Delphinidae,0.309337728,regime3,regime3,NBHF,band3
Sagmatias_cruciger,odontocete,extant,Lagenorhynchus cruciger NHM 1960.8.24.1 ,Delphinidae,0.367589285,regime3,regime3,NBHF,band3
Sagmatias_obscurus,odontocete,extant,Lagenorhynchus obscurus NHM 1846.3.11.8 ,Delphinidae,0.246632015,regime3,regime3,NBHF,band3
Schizodelphis_barnesi,odontocete,miocene,Schizodelphis barnesi MNHN AMN 19,Eurhinodelphidae ,0.2030323,regime3,regime3,unknown,band3
Schizodelphis_morckhoviensis,odontocete,miocene,Schizodelphis morckhoviensis USNM 13873,Eurhinodelphidae ,0.183225581,regime3,regime3,unknown,band3
Schizodelphis_squalodontoides,odontocete,miocene,Schizodelphis sp CCNHM 141,Eurhinodelphidae ,0.2285888,regime3,regime3,unknown,band3
Semirostrum_ceruttii,odontocete,pliocene,Semirostrum cerutti SDNHM 65276,Phocoenidae ,0.2540035,regime3,regime3,unknown,band3
Septemtriocetus_bosselaersi,odontocete,pliocene,Septemtriocetus bosselaersi IRSNB M.1928,Phocoenidae ,0.382382017,regime3,regime3,unknown,band3
Simocetus_rayi,odontocete,oligocene,Simocetus rayi USNM 256517,Simocetidae ,0.22280202,regime3,regime3,unknown,band2
Sotalia_guianensis,odontocete,extant,Sotalia guianensis USNM 571558,Delphinidae,0.280522446,regime3,regime3,BBLF ,band3
Sousa_chinensis,odontocete,extant,Sousa chinensis NHM 1992.97,Delphinidae,0.23158826,regime3,regime3,BBLF ,band3
Sousa_plumbea,odontocete,extant,Sousa plumbea USNM 550941,Delphinidae,0.227591034,regime3,regime3,BBLF ,band3
Sousa_sahulensis,odontocete,extant,Sousa sahulensis NHM 1992.92,Delphinidae,0.230698777,regime3,regime3,BBLF ,band3
Sousa_teuszii,odontocete,extant,Sousa teuszii NHM 1992.138,Delphinidae,0.241430098,regime3,regime3,BBLF ,band3
Squalodon_bariensis,odontocete,miocene,Squalodon bariensis IRSNB 2372,Squalodontidae,0.287989292,regime3,regime3,unknown,band3
Squalodon_calvertensis,odontocete,miocene,Squalodon calvertensis NMNZ MM001996,Squalodontidae,0.371899821,regime3,regime3,unknown,band3
Squalodon_sp_OU_21798,odontocete,oligocene,Shark-toothed dolphin OU 21798,Squalodontidae,0.340161954,regime3,regime3,unknown,band3
Stenella_attenuata,odontocete,extant,Stenella attenuata NHM 1966.11.18.5,Delphinidae,0.238286483,regime3,regime3,BBLF ,band3
Stenella_longirostris,odontocete,extant,Stenella longirostris USNM 395270,Delphinidae,0.320005313,regime3,regime3,BBLF ,band3
Steno_bredanensis,odontocete,extant,Steno bredanensis USNM 572789,Delphinidae,0.249981205,regime3,regime3,BBLF ,band3
Tagicetus_joneti,odontocete,miocene,Tagicetus joneti IRSNB M. 1892,Delphinida ,0.406004384,regime3,regime3,unknown,band3
Tasmacetus_shepherdi,odontocete,extant,Tasmacetus shepherdi USNM 484878,Ziphiidae ,0.223691102,regime3,regime3,FMbuzz,band3
Tiucetus_rosae,mysticete,miocene ,Tiocetus rosae MNHN.F. PPI261,Cetotheriidae ,0.222264542,regime2,regime2,unknown,band0
Tursiops_aduncus,odontocete,extant,Tursiops aduncus NHM 1882.1.2.3,Delphinidae,0.279050921,regime3,regime3,BBLF ,band3
Tursiops_truncatus,odontocete,extant,Tursiops truncatus sp SDNHM 23798,Delphinidae,0.267584826,regime3,regime3,BBLF ,band3
Waipatia_maerewhenua,odontocete,oligocene,Waipatia maerwhenua OU 22095,Waipatiidae,0.262824148,regime3,regime3,unknown,band3
Xenorophus_sp,odontocete,oligocene,Xenorophus new sp Yap CCNHM 168,Xenorophidae,0.271019753,regime3,regime3,unknown,band2
Xenorophus_sp_ChM_PV4823,odontocete,oligocene,Xenorophus new sp ChM PV4823,Xenorophidae,0.183370214,regime3,regime3,unknown,band2
Xiphiacetus_bossi,odontocete,miocene ,Xiphiacetus bossi USNM 8842,Eurhinodelphidae,0.225992795,regime3,regime3,unknown,band3
Xiphiacetus_cristatus,odontocete,miocene,Xiphiacetus cristatus USNM 21363,Eurhinodelphidae ,0.229498094,regime3,regime3,unknown,band3
Zarhachis_flagellator,odontocete,miocene,Zarhachis flagellator USNM 10911,Platanistidae,0.325326333,regime3,regime3,unknown,band3
Zarhinocetus_donnamatsonae,odontocete,miocene,Zarhinocetus donnamatsonae UCMP 86139,Allodelphinidae,0.278632464,regime3,regime3,unknown,band3
Zarhinocetus_errabundus,odontocete,miocene,Zarhinocetus errabundus LACM 149588,Allodelphinidae,0.231868166,regime3,regime3,unknown,band3
Ziphius_cavirostris,odontocete,extant,Ziphius cavirostris NHM 2006.15,Ziphiidae ,0.256996499,regime3,regime3,FMbuzz,band3
Zygorhiza_kochii,archaeocete,eocene,Zygorhiza kochii USNM 11962,Basilosauridae ,0.306356544,regime1,regime1,unknown,band0
